epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1147.32,1.6844,1.52567,1.63595,0.34652,0.42059,0.3221,0.15634,2.01145,1.91694,2.03868,0.000945641,0.000945641,0.000945641
43,1172.88,1.62776,1.52908,1.62978,0.32757,0.40564,0.34704,0.15598,2.0265,1.87911,2.06256,0.000933851,0.000933851,0.000933851
44,1199.87,1.63157,1.47656,1.6172,0.28221,0.49196,0.35124,0.16465,2.14207,2.17142,2.13552,0.000922062,0.000922062,0.000922062
45,1226.38,1.62934,1.48974,1.62164,0.29967,0.44764,0.35802,0.15256,2.10282,2.04478,2.08889,0.000910273,0.000910273,0.000910273
46,1254.97,1.63999,1.47631,1.61798,0.30781,0.47507,0.34058,0.15583,2.04338,1.98007,2.06786,0.000898484,0.000898484,0.000898484
47,1280.49,1.59851,1.46613,1.6057,0.35447,0.38169,0.33753,0.14886,2.02592,1.98365,2.04299,0.000886694,0.000886694,0.000886694
48,1309.06,1.61104,1.46141,1.60751,0.3011,0.50056,0.34842,0.16315,1.97881,1.99984,1.99079,0.000874905,0.000874905,0.000874905
49,1334.91,1.60209,1.44296,1.61323,0.29687,0.34138,0.32748,0.15314,2.05198,2.0883,2.0382,0.000863116,0.000863116,0.000863116
50,1362.38,1.56128,1.40578,1.56951,0.30355,0.42805,0.34637,0.15765,2.08216,2.03869,2.05253,0.000851327,0.000851327,0.000851327
51,1388.02,1.54684,1.41844,1.5792,0.32501,0.43206,0.35927,0.16023,2.12393,1.99629,2.12713,0.000839537,0.000839537,0.000839537
52,1415.37,1.56528,1.37786,1.56567,0.32764,0.42308,0.34355,0.16141,2.0378,1.99682,2.05282,0.000827748,0.000827748,0.000827748
53,1440.75,1.57471,1.41831,1.57508,0.31143,0.4438,0.35292,0.16671,2.06454,1.9791,2.08237,0.000815959,0.000815959,0.000815959
54,1468.71,1.53933,1.3508,1.56812,0.32865,0.39979,0.33556,0.14464,2.13495,2.03097,2.16089,0.00080417,0.00080417,0.00080417
55,1494.59,1.5346,1.36481,1.5324,0.32354,0.5232,0.40509,0.18122,2.01801,1.82061,2.06381,0.00079238,0.00079238,0.00079238
56,1521.89,1.49078,1.25625,1.51435,0.28011,0.51047,0.37125,0.16945,2.07923,1.94092,2.11239,0.000780591,0.000780591,0.000780591
57,1549.3,1.50976,1.29518,1.53272,0.32583,0.46739,0.35575,0.15885,2.07432,1.98387,2.11104,0.000768802,0.000768802,0.000768802
58,1576.03,1.47288,1.30395,1.51676,0.27483,0.40576,0.2725,0.11743,2.1051,2.11979,2.13669,0.000757013,0.000757013,0.000757013
59,1603.29,1.49323,1.28408,1.53816,0.31181,0.38309,0.32379,0.14242,2.023,2.11615,2.05841,0.000745223,0.000745223,0.000745223
60,1630.51,1.46529,1.26011,1.50608,0.31802,0.39521,0.31607,0.1372,2.12038,2.0949,2.15593,0.000733434,0.000733434,0.000733434
61,1656.99,1.46567,1.27294,1.50652,0.27816,0.52283,0.3349,0.14676,2.09995,2.00842,2.12296,0.000721645,0.000721645,0.000721645
62,1684.63,1.45613,1.25043,1.4814,0.27171,0.50607,0.32052,0.13717,2.11898,2.06866,2.12409,0.000709856,0.000709856,0.000709856
63,1711.78,1.4417,1.22088,1.49136,0.33357,0.43982,0.36265,0.16013,2.06305,2.03821,2.08037,0.000698066,0.000698066,0.000698066
64,1739.45,1.43862,1.22452,1.48758,0.26881,0.46388,0.32201,0.14064,2.06957,2.20926,2.09901,0.000686277,0.000686277,0.000686277
65,1765.14,1.40063,1.14145,1.44794,0.38678,0.34799,0.34207,0.15018,2.11559,2.24772,2.16586,0.000674488,0.000674488,0.000674488
66,1792.98,1.4139,1.14387,1.45444,0.46892,0.38707,0.38482,0.16686,2.1203,2.08319,2.1649,0.000662699,0.000662699,0.000662699
67,1819.2,1.38425,1.16608,1.45332,0.35745,0.40001,0.30353,0.13844,2.08309,2.07482,2.12639,0.000650909,0.000650909,0.000650909
68,1845.92,1.37968,1.14011,1.46221,0.48648,0.33849,0.3735,0.16496,2.12483,2.10796,2.18437,0.00063912,0.00063912,0.00063912
69,1871.7,1.39396,1.1473,1.46624,0.36876,0.41376,0.35726,0.15855,2.04722,1.95134,2.08867,0.000627331,0.000627331,0.000627331
70,1901.06,1.35697,1.10643,1.45489,0.4224,0.33727,0.36325,0.15588,2.1479,2.02832,2.19819,0.000615542,0.000615542,0.000615542
71,1926.4,1.38171,1.14155,1.45401,0.36294,0.36337,0.34961,0.16445,2.18851,2.13223,2.21192,0.000603752,0.000603752,0.000603752
72,1953.57,1.34517,1.05461,1.4008,0.37268,0.40398,0.34705,0.15121,2.17231,2.10142,2.20952,0.000591963,0.000591963,0.000591963
73,1979.5,1.33703,1.09512,1.42803,0.42209,0.37311,0.37857,0.1687,2.10756,2.00109,2.12182,0.000580174,0.000580174,0.000580174
74,2007.36,1.32622,1.07562,1.41638,0.27825,0.47107,0.3217,0.14252,2.05865,2.14919,2.08056,0.000568385,0.000568385,0.000568385
75,2032.62,1.309,1.07923,1.40147,0.28798,0.44376,0.35772,0.16365,2.06153,2.00825,2.13403,0.000556595,0.000556595,0.000556595
76,2060.75,1.28935,1.04047,1.39503,0.35255,0.44479,0.37437,0.16961,2.02697,2.09681,2.07765,0.000544806,0.000544806,0.000544806
